frequency, value
0,0
1.346,0.0007124
2.692,0.001425
4.037,0.002137
5.383,0.002849
6.729,0.003561
8.075,0.004273
9.421,0.004985
10.77,0.005696
12.11,0.006407
13.46,0.007118
14.8,0.007828
16.15,0.008538
17.5,0.009248
18.84,0.009957
20.19,0.01067
21.53,0.01137
22.88,0.01208
24.22,0.01279
25.57,0.01349
26.92,0.0142
28.26,0.0149
29.61,0.01561
30.95,0.01631
32.3,0.01701
33.65,0.01772
34.99,0.01842
36.34,0.01912
37.68,0.01981
39.03,0.02051
40.37,0.02121
41.72,0.0219
43.07,0.0226
44.41,0.02329
45.76,0.02398
47.1,0.02468
48.45,0.02537
49.8,0.02605
51.14,0.02674
52.49,0.02743
53.83,0.02811
55.18,0.02879
56.52,0.02948
57.87,0.03016
59.22,0.03083
60.56,0.03151
61.91,0.03219
63.25,0.03286
64.6,0.03353
65.95,0.0342
67.29,0.03487
68.64,0.03554
69.98,0.0362
71.33,0.03687
72.67,0.03753
74.02,0.03819
75.37,0.03884
76.71,0.0395
78.06,0.04015
79.4,0.0408
80.75,0.04145
82.1,0.0421
83.44,0.04275
84.79,0.04339
86.13,0.04403
87.48,0.04467
88.82,0.0453
90.17,0.04594
91.52,0.04657
92.86,0.0472
94.21,0.04783
95.55,0.04845
96.9,0.04907
98.25,0.04969
99.59,0.05031
100.9,0.05092
102.3,0.05153
103.6,0.05214
105,0.05275
106.3,0.05335
107.7,0.05396
109,0.05455
110.4,0.05515
111.7,0.05574
113,0.05633
114.4,0.05692
115.7,0.0575
117.1,0.05808
118.4,0.05866
119.8,0.05924
121.1,0.05981
122.5,0.06038
123.8,0.06095
125.2,0.06151
126.5,0.06207
127.9,0.06263
129.2,0.06318
130.5,0.06373
131.9,0.06428
133.2,0.06482
134.6,0.06536
135.9,0.0659
137.3,0.06644
138.6,0.06697
140,0.06749
141.3,0.06802
142.7,0.06854
144,0.06905
145.3,0.06957
146.7,0.07008
148,0.07058
149.4,0.07109
150.7,0.07159
152.1,0.07208
153.4,0.07257
154.8,0.07306
156.1,0.07355
157.5,0.07403
158.8,0.0745
160.2,0.07498
161.5,0.07545
162.8,0.07591
164.2,0.07638
165.5,0.07683
166.9,0.07729
168.2,0.07774
169.6,0.07818
170.9,0.07863
172.3,0.07906
173.6,0.0795
175,0.07993
176.3,0.08035
177.6,0.08078
179,0.08119
180.3,0.08161
181.7,0.08202
183,0.08242
184.4,0.08282
185.7,0.08322
187.1,0.08361
188.4,0.084
189.8,0.08439
191.1,0.08477
192.5,0.08514
193.8,0.08551
195.1,0.08588
196.5,0.08624
197.8,0.0866
199.2,0.08696
200.5,0.08731
201.9,0.08765
203.2,0.08799
204.6,0.08833
205.9,0.08866
207.3,0.08899
208.6,0.08931
209.9,0.08963
211.3,0.08994
212.6,0.09025
214,0.09056
215.3,0.09086
216.7,0.09115
218,0.09144
219.4,0.09173
220.7,0.09201
222.1,0.09229
223.4,0.09256
224.8,0.09282
226.1,0.09309
227.4,0.09335
228.8,0.0936
230.1,0.09385
231.5,0.09409
232.8,0.09433
234.2,0.09456
235.5,0.09479
236.9,0.09502
238.2,0.09524
239.6,0.09545
240.9,0.09566
242.2,0.09587
243.6,0.09607
244.9,0.09626
246.3,0.09645
247.6,0.09664
249,0.09682
250.3,0.097
251.7,0.09717
253,0.09733
254.4,0.09749
255.7,0.09765
257.1,0.0978
258.4,0.09795
259.7,0.09809
261.1,0.09822
262.4,0.09835
263.8,0.09848
265.1,0.0986
266.5,0.09872
267.8,0.09883
