frequency, value
0,0
344.5,0.00783
689.1,0.01562
1034,0.02335
1378,0.03096
1723,0.03843
2067,0.04573
2412,0.05281
2756,0.05965
3101,0.06622
3445,0.07248
3790,0.07841
4134,0.08399
4479,0.08918
4823,0.09396
5168,0.09832
5512,0.1022
5857,0.1057
6202,0.1087
6546,0.1111
6891,0.1131
7235,0.1146
7580,0.1156
7924,0.1161
8269,0.1161
8613,0.1155
8958,0.1145
9302,0.113
9647,0.111
9991,0.1085
1.034e+04,0.1056
1.068e+04,0.1023
1.102e+04,0.09851
1.137e+04,0.09438
1.171e+04,0.08989
1.206e+04,0.08506
1.24e+04,0.07992
1.275e+04,0.0745
1.309e+04,0.06884
1.344e+04,0.06296
1.378e+04,0.05691
1.413e+04,0.0507
1.447e+04,0.04438
1.481e+04,0.03798
1.516e+04,0.03155
1.55e+04,0.0251
1.585e+04,0.01869
1.619e+04,0.01235
1.654e+04,0.006105
1.688e+04,5.417e-09
1.723e+04,-0.005933
1.757e+04,-0.01166
1.792e+04,-0.01715
1.826e+04,-0.02237
1.86e+04,-0.0273
1.895e+04,-0.03189
1.929e+04,-0.03613
1.964e+04,-0.04
1.998e+04,-0.04346
2.033e+04,-0.0465
2.067e+04,-0.0491
2.102e+04,-0.05124
2.136e+04,-0.05292
2.171e+04,-0.0541
