frequency, value
0,26.34
86.13,26.34
172.3,-15.54
258.4,-14.48
344.5,-3.1
430.7,-2.759
516.8,1.096
602.9,0.9385
689.1,-0.1555
775.2,-0.1376
861.3,-7.225
947.5,-5.73
1034,-0.1815
1120,-0.1504
1206,1.474
1292,1.111
1378,0.2873
1464,0.1931
1550,-1.588
1637,-1.059
1723,-1.462
1809,-1.01
1895,0.7197
1981,0.4957
2067,0.2686
2153,0.1636
2239,-4.221
2326,-2.739
2412,0.5204
2498,0.3154
2584,0.03547
2670,0.03607
2756,0.2314
2842,0.1177
2929,0.6956
3015,0.4731
3101,-0.192
3187,-0.1018
3273,-0.2652
3359,-0.1259
3445,-0.3555
3531,-0.2044
3618,-2.451
3704,-1.352
3790,-0.1755
3876,-0.1068
3962,0.9983
4048,0.5558
4134,0.2499
4221,0.1133
4307,-1.079
4393,-0.5023
4479,-0.7547
4565,-0.4048
4651,0.3208
4737,0.1829
4823,0.3585
4910,0.164
4996,-1.629
5082,-0.8677
5168,0.3682
5254,0.1684
5340,-0.4761
5426,-0.2018
5512,0.1364
5599,0.03621
5685,1.026
5771,0.5171
5857,0.2
5943,0.09262
6029,-0.2809
6115,-0.08136
6202,-0.129
6288,-0.05533
6374,0.1668
6460,0.03363
6546,-0.1527
6632,-0.0687
6718,0.2192
6804,0.1276
6891,-0.08999
6977,-0.05018
7063,-0.0589
7149,0.01251
7235,-0.5781
7321,-0.2664
7407,0.3906
7494,0.193
7580,0.08235
7666,0.02346
7752,-2.38
7838,-1.127
7924,0.2973
8010,0.1248
8096,0.06135
8183,0.05084
8269,0.1538
8355,0.04302
8441,0.39
8527,0.2607
8613,-0.1139
8699,-0.04512
8786,-0.1826
8872,-0.05616
8958,-0.1636
9044,-0.0921
9130,-1.322
9216,-0.6657
9302,-0.03983
9388,-0.03959
9475,0.3543
9561,0.226
9647,0.2085
9733,0.0759
9819,-0.5309
9905,-0.2094
9991,-0.2018
1.008e+04,-0.1409
1.016e+04,-0.005388
1.025e+04,0.03813
1.034e+04,0.2157
1.042e+04,0.08728
1.051e+04,-0.3112
1.059e+04,-0.2644
1.068e+04,0.1713
1.077e+04,0.07283
1.085e+04,-0.4568
1.094e+04,-0.1649
1.102e+04,0.07699
1.111e+04,-0.001339
1.12e+04,0.8478
1.128e+04,0.3939
1.137e+04,0.2339
1.146e+04,0.09083
1.154e+04,-0.2078
1.163e+04,-0.02533
1.171e+04,-0.03286
1.18e+04,-0.01043
1.189e+04,0.7909
1.197e+04,0.2113
1.206e+04,-0.04122
1.214e+04,-0.0155
1.223e+04,-0.1378
1.232e+04,0.002243
1.24e+04,-0.08021
1.249e+04,-0.03581
1.258e+04,0.3091
1.266e+04,0.1183
1.275e+04,-0.01158
1.283e+04,-0.03695
1.292e+04,0.04914
1.301e+04,0.05476
1.309e+04,-0.03448
1.318e+04,-0.02038
1.326e+04,-0.5719
1.335e+04,-0.3715
1.344e+04,0.03049
1.352e+04,0.02033
1.361e+04,0.04834
1.37e+04,0.05543
1.378e+04,-0.0199
1.387e+04,-0.02737
1.395e+04,0.3595
1.404e+04,0.2483
1.413e+04,-0.03801
1.421e+04,-0.02033
1.43e+04,-0.03115
1.438e+04,0.004349
1.447e+04,-0.1513
1.456e+04,-0.1041
1.464e+04,-1.007
1.473e+04,-0.6559
1.481e+04,-0.09856
1.49e+04,-0.07823
1.499e+04,0.5121
1.507e+04,0.3825
1.516e+04,0.09601
1.525e+04,0.04344
1.533e+04,-0.4919
1.542e+04,-0.2874
1.55e+04,-0.4105
1.559e+04,-0.324
1.568e+04,0.1922
1.576e+04,0.1753
1.585e+04,0.1906
1.593e+04,0.1247
1.602e+04,-0.9141
1.611e+04,-0.8019
1.619e+04,0.2064
1.628e+04,0.1512
1.637e+04,-0.2626
1.645e+04,-0.1649
1.654e+04,0.08476
1.662e+04,0.02569
1.671e+04,0.5516
1.68e+04,0.509
1.688e+04,0.1104
1.697e+04,0.09081
1.705e+04,-0.1781
1.714e+04,-0.08477
1.723e+04,-0.06801
1.731e+04,-0.05906
1.74e+04,0.1245
1.748e+04,0.04275
1.757e+04,-0.0744
1.766e+04,-0.07353
1.774e+04,0.07874
1.783e+04,0.1302
1.792e+04,-0.0263
1.8e+04,-0.04784
1.809e+04,-0.0524
1.817e+04,0.001221
1.826e+04,-0.2473
1.835e+04,-0.284
1.843e+04,0.1456
1.852e+04,0.1982
1.86e+04,0.06142
1.869e+04,0.03965
1.878e+04,-0.9094
1.886e+04,-1.168
1.895e+04,0.1258
1.904e+04,0.1373
1.912e+04,-0.04894
1.921e+04,0.01289
1.929e+04,0.1024
1.938e+04,0.07149
1.947e+04,0.07028
1.955e+04,0.2241
1.964e+04,-0.02786
1.972e+04,-0.03722
1.981e+04,-0.09612
1.99e+04,-0.07524
1.998e+04,-0.00985
2.007e+04,-0.06055
2.016e+04,-0.2955
2.024e+04,-0.5522
2.033e+04,0.02416
2.041e+04,-0.01295
2.05e+04,-0.04631
2.059e+04,0.1048
2.067e+04,0.09657
2.076e+04,0.09193
2.084e+04,-0.1478
2.093e+04,-0.1693
2.102e+04,0.04058
2.11e+04,-0.05393
2.119e+04,-0.09727
2.127e+04,-0.03366
2.136e+04,0.08214
2.145e+04,0.08929
2.153e+04,0.1429
2.162e+04,-0.05911
2.171e+04,0.05535
2.179e+04,0.06573
2.188e+04,-0.2815
2.196e+04,-0.2462
