frequency, value
0,5.403
344.5,5.403
689.1,-3.446
1034,-2.796
1378,-1.383
1723,-0.9651
2067,-1.951
2412,-1.259
2756,-0.6003
3101,-0.3166
3445,-0.08531
3790,-0.02631
4134,-0.7834
4479,-0.3767
4823,-1.05
5168,-0.5172
5512,-0.2764
5857,-0.07851
6202,0.5326
6546,0.22
6891,-0.01112
7235,0.02065
7580,-0.893
7924,-0.3856
8269,-0.3416
8613,-0.1056
8958,-0.06901
9302,-0.007446
9647,-0.452
9991,-0.1838
1.034e+04,-0.3918
1.068e+04,-0.198
1.102e+04,-0.1389
1.137e+04,-0.0002723
1.171e+04,0.5096
1.206e+04,0.1576
1.24e+04,0.213
1.275e+04,0.08616
1.309e+04,-0.06773
1.344e+04,-0.05085
1.378e+04,-0.004302
1.413e+04,0.03002
1.447e+04,0.01106
1.481e+04,0.02561
1.516e+04,-0.333
1.55e+04,-0.1886
1.585e+04,-0.5641
1.619e+04,-0.4204
1.654e+04,-0.159
1.688e+04,-0.05386
1.723e+04,0.3033
1.757e+04,0.2352
1.792e+04,-0.02617
1.826e+04,0.01435
1.86e+04,-0.3954
1.895e+04,-0.4239
1.929e+04,-0.189
1.964e+04,-0.1438
1.998e+04,-0.04386
2.033e+04,-0.01876
2.067e+04,-0.1578
2.102e+04,-0.1773
2.136e+04,-0.06712
2.171e+04,-0.1323
