frequency, value
0,1.147
344.5,1.153
689.1,0.3214
1034,0.1048
1378,1.909
1723,1.38
2067,0.02903
2412,0.2288
2756,0.02607
3101,0.02841
3445,0.4951
3790,0.6653
4134,1.263
4479,0.4193
4823,-0.7662
5168,-0.2648
5512,0.02987
5857,0.01115
6202,0.7145
6546,0.1837
6891,-1.123
7235,-0.1541
7580,-0.00134
7924,-0.4757
8269,0.1084
8613,0.06115
8958,0.1938
9302,0.5721
9647,1.103
9991,0.3848
1.034e+04,-0.6087
1.068e+04,-0.2628
1.102e+04,0.04172
1.137e+04,0.001507
1.171e+04,0.5313
1.206e+04,-0.1479
1.24e+04,-1.254
1.275e+04,-0.06416
1.309e+04,-0.2267
1.344e+04,-0.9904
1.378e+04,-0.1488
1.413e+04,-0.2371
1.447e+04,0.1193
1.481e+04,-0.08542
1.516e+04,0.6829
1.55e+04,0.4173
1.585e+04,-0.3951
1.619e+04,-0.6042
1.654e+04,0.1359
1.688e+04,-0.1566
1.723e+04,0.1311
1.757e+04,0.1923
1.792e+04,-0.6329
1.826e+04,-0.8216
1.86e+04,-0.5074
1.895e+04,0.07216
1.929e+04,0.2414
1.964e+04,-0.2814
1.998e+04,-0.3053
2.033e+04,-1.853
2.067e+04,1.119
2.102e+04,1.775
2.136e+04,0.4586
2.171e+04,0.04873
