frequency, value
0,2.944
1.346,2.949
2.692,-1.235
4.037,-1.332
5.383,2.385
6.729,2.188
8.075,-0.3564
9.421,-0.3255
10.77,-1.499
12.11,-2.314
13.46,-3.869
14.8,-4.436
16.15,-2.2
17.5,-2.532
18.84,-8.108
20.19,-9.21
21.53,14.78
22.88,15.85
24.22,-16.39
25.57,-18.55
26.92,9.181
28.26,9.387
29.61,5.747
30.95,5.9
32.3,11.86
33.65,13.03
34.99,-18.64
36.34,-20.03
37.68,-10.11
39.03,-10.61
40.37,-4.783
41.72,-4.665
43.07,-3.503
44.41,-3.754
45.76,1.089
47.1,1.037
48.45,-0.9031
49.8,-1.352
51.14,-1.22
52.49,-1.58
53.83,-0.2218
55.18,3.275
56.52,0.1798
57.87,-1.753
59.22,-1.877
60.56,-2.62
61.91,-9.724
63.25,-9.481
64.6,5.123
65.95,4.043
67.29,-1.353
68.64,-2.157
69.98,0.6888
71.33,0.5164
72.67,0.3596
74.02,0.3336
75.37,1.158
76.71,1.02
78.06,0.0427
79.4,-0.4567
80.75,1.045
82.1,0.5076
83.44,-2.291
84.79,-2.199
86.13,1.542
87.48,1.148
88.82,0.3534
90.17,-0.2088
91.52,1.491
92.86,0.6741
94.21,-5.346
95.55,-5.434
96.9,6.616
98.25,6.791
99.59,1.747
100.9,-0.1586
102.3,0.6532
103.6,-0.08143
105,-0.7594
106.3,-2.105
107.7,-0.1934
109,-0.6671
110.4,9.963
111.7,9.819
113,3.08
114.4,1.84
115.7,-1.777
117.1,-3.911
118.4,12.52
119.8,23.25
121.1,-9.492
122.5,-7.104
123.8,-7.306
125.2,-5.067
126.5,-14.3
127.9,-12.4
129.2,-3.196
130.5,-2.003
131.9,6.906
133.2,6.939
134.6,3.077
135.9,2.964
137.3,-14.76
138.6,-14.7
140,16.13
141.3,15.67
142.7,25.73
144,24.79
145.3,-7.836
146.7,-6.473
148,-14.43
149.4,-10.02
150.7,18.91
152.1,17.22
153.4,-26.16
154.8,-24.99
156.1,2.983
157.5,3.511
158.8,-2.548
160.2,-2.442
161.5,-5.826
162.8,-5.983
164.2,6.988
165.5,6.851
166.9,3.046
168.2,2.902
169.6,-3.666
170.9,-2.813
172.3,2.235
173.6,2.498
175,-0.5217
176.3,-0.524
177.6,0.2274
179,0.2896
180.3,-6.017
181.7,-5.458
183,8.318
184.4,6.427
185.7,-4.68
187.1,-4.523
188.4,1.147
189.8,1.441
191.1,-5.392
192.5,-5.946
193.8,5.55
195.1,6.595
196.5,-0.9719
197.8,-2.477
199.2,-1.414
200.5,-1.312
201.9,-1.882
203.2,-1.392
204.6,-23
205.9,-26.84
207.3,15.28
208.6,15.68
209.9,7.093
211.3,7.039
212.6,-0.202
214,0.5635
215.3,4.917
216.7,4.793
218,2.601
219.4,2.791
220.7,8.122
222.1,8.163
223.4,-4.923
224.8,-4.388
226.1,-18.95
227.4,-20.02
228.8,14.69
230.1,15.13
231.5,-13.34
232.8,-12.28
234.2,-39.51
235.5,-35.3
236.9,23.9
238.2,22.92
239.6,-14.78
240.9,-14.2
242.2,3.217
243.6,3.386
244.9,0.6865
246.3,0.8106
247.6,-16.47
249,-14.41
250.3,15.46
251.7,14.37
253,4.79
254.4,4.731
255.7,-8.707
257.1,-7.81
258.4,0.04947
259.7,0.3665
261.1,2.246
262.4,1.981
263.8,-1.464
265.1,-0.916
266.5,-17.91
267.8,-16.24
269.2,26.93
270.5,25.42
271.9,3.749
273.2,3.253
274.5,2.757
275.9,2.533
277.2,6.217
278.6,5.626
279.9,-14.51
281.3,-13.34
282.6,36.56
284,33.62
285.3,2.768
286.7,2.891
288,-0.6245
289.4,-1.332
290.7,23.01
292,22.57
293.4,-23.92
294.7,-19.92
296.1,-19.42
297.4,-17.07
298.8,-30.47
300.1,-27.38
301.5,-12.58
302.8,-10.7
304.2,9.786
305.5,9.378
306.8,-1.923
308.2,-0.5157
309.5,-33.84
310.9,-29.33
312.2,54.35
313.6,43.15
314.9,51.05
316.3,47.1
317.6,-14.21
319,-13.39
320.3,-27.99
321.7,-30.18
323,44.14
324.3,41.27
325.7,-55.8
327,-47.66
328.4,7.349
329.7,6.403
331.1,6.937
332.4,7.285
333.8,8.607
335.1,8.077
336.5,-0.5826
337.8,-0.2759
339.1,11.27
340.5,10.14
341.8,1.573
343.2,2.001
344.5,11.47
345.9,9.853
347.2,-8.987
348.6,-7.721
349.9,8.646
351.3,7.049
352.6,4.027
354,3.57
355.3,-9.579
356.6,-9.157
358,-3.768
359.3,-2.246
360.7,-0.267
362,0.5545
363.4,-31.98
364.7,-27.2
366.1,60.47
367.4,50.7
368.8,-86.58
370.1,-73.69
371.4,25.48
372.8,20.09
374.1,16.63
375.5,13.65
376.8,39.48
378.2,28.83
379.5,-72.43
380.9,-59.23
382.2,-43.95
383.6,-35.75
384.9,-21.91
386.3,-17.04
387.6,-21.96
388.9,-18.18
390.3,6.91
